Symbol,Path,Description
RPAD5,BVMF-Equities\RPAD5,ALFA HOLDINGPNA ED
PINE13F,BVMF-Equities\PINE13F,PINE        BNS     N2
BMIN4,BVMF-Equities\BMIN4,MERC INVEST PN
BMEB3,BVMF-Equities\BMEB3,MERCANTIL   ON      N1
MERC4,BVMF-Equities\MERC4,MERC FINANC PN
RPAD5M,BVMF-Equities\RPAD5M,ALFA HOLDINGPNA ED
RPAD5R,BVMF-Equities\RPAD5R,ALFA HOLDINGPNA ED
BMIN4F,BVMF-Equities\BMIN4F,MERC INVEST PN
BMEB3F,BVMF-Equities\BMEB3F,MERCANTIL   ON      N1
BMIN3,BVMF-Equities\BMIN3,MERC INVEST ON
MERC4F,BVMF-Equities\MERC4F,MERC FINANC PN
BMEB4,BVMF-Equities\BMEB4,MERCANTIL   PN      N1
BMEB4F,BVMF-Equities\BMEB4F,MERCANTIL   PN      N1
MERC3,BVMF-Equities\MERC3,MERC FINANC ON
MERC3F,BVMF-Equities\MERC3F,MERC FINANC ON
MERC4Q,BVMF-Equities\MERC4Q,MERC FINANC PN
BMIN3F,BVMF-Equities\BMIN3F,MERC INVEST ON
BMEB3M,BVMF-Equities\BMEB3M,MERCANTIL   ON      N1
BMEB3R,BVMF-Equities\BMEB3R,MERCANTIL   ON      N1
BMEB3Q,BVMF-Equities\BMEB3Q,MERCANTIL   ON      N1
MERC4M,BVMF-Equities\MERC4M,MERC FINANC PN
MERC4R,BVMF-Equities\MERC4R,MERC FINANC PN
BMEB4Q,BVMF-Equities\BMEB4Q,MERCANTIL   PN      N1
BMIN4R,BVMF-Equities\BMIN4R,MERC INVEST PN
BMEB4R,BVMF-Equities\BMEB4R,MERCANTIL   PN      N1
BMIN4M,BVMF-Equities\BMIN4M,MERC INVEST PN
BMIN4Q,BVMF-Equities\BMIN4Q,MERC INVEST PN
BGIP3,BVMF-Equities\BGIP3,BANESE      ON
BGIP3F,BVMF-Equities\BGIP3F,BANESE      ON
BGIP4F,BVMF-Equities\BGIP4F,BANESE      PN
BGIP4,BVMF-Equities\BGIP4,BANESE      PN
BMEB4M,BVMF-Equities\BMEB4M,MERCANTIL   PN      N1
BGIP4R,BVMF-Equities\BGIP4R,BANESE      PN
BGIP3R,BVMF-Equities\BGIP3R,BANESE      ON
BGIP3Q,BVMF-Equities\BGIP3Q,BANESE      ON
BGIP4M,BVMF-Equities\BGIP4M,BANESE      PN
BGIP4Q,BVMF-Equities\BGIP4Q,BANESE      PN
BRAP3,BVMF-Equities\BRAP3,BRADESPAR   ON      N1
BGIP3M,BVMF-Equities\BGIP3M,BANESE      ON
BRAP3F,BVMF-Equities\BRAP3F,BRADESPAR   ON      N1
BRAP4,BVMF-Equities\BRAP4,BRADESPAR   PN      N1
BRAP4F,BVMF-Equities\BRAP4F,BRADESPAR   PN      N1
BRAP3R,BVMF-Equities\BRAP3R,BRADESPAR   ON      N1
BRAP3Q,BVMF-Equities\BRAP3Q,BRADESPAR   ON      N1
BRAP4M,BVMF-Equities\BRAP4M,BRADESPAR   PN      N1
BRAP4R,BVMF-Equities\BRAP4R,BRADESPAR   PN      N1
BRAP4Q,BVMF-Equities\BRAP4Q,BRADESPAR   PN      N1
BAZA3R,BVMF-Equities\BAZA3R,AMAZONIA    ON
BRAP3M,BVMF-Equities\BRAP3M,BRADESPAR   ON      N1
BAZA3Q,BVMF-Equities\BAZA3Q,AMAZONIA    ON
BAZA3F,BVMF-Equities\BAZA3F,AMAZONIA    ON
BAZA3,BVMF-Equities\BAZA3,AMAZONIA    ON
BAZA3M,BVMF-Equities\BAZA3M,AMAZONIA    ON
ABCB4Q,BVMF-Equities\ABCB4Q,ABC BRASIL  PN      N2
ABCB4F,BVMF-Equities\ABCB4F,ABC BRASIL  PN      N2
